流水號,課程名稱,授課教師,時間&教室,課程連結
87874,工程數學3,陶默德,"一6,7(普201)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=501%2022010&class=01&dpt_code=5010&ser_no=87874&semester=113-1&lang=CH
72398,工程數學3,張書瑋,"一6,7(新103)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=501%2022010&class=02&dpt_code=5010&ser_no=72398&semester=113-1&lang=CH
37237,工程數學一,蕭惠心,"四7,8,9(工科207)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=505%2028110&class=&dpt_code=5050&ser_no=37237&semester=113-1&lang=CH
80060,工程數學一,顏炳郎,"二2,3,4(生機101)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=611%2021210&class=&dpt_code=6110&ser_no=80060&semester=113-1&lang=CH
82884,工程數學上,蕭浩明,"一3,4(進學講堂)三2(進學講堂)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=502%2020001&class=01&dpt_code=5020&ser_no=82884&semester=113-1&lang=CH
14656,工程數學上,盧南佑,"一3,4(綜403) 三2(綜403)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=502%2020001&class=03&dpt_code=5020&ser_no=14656&semester=113-1&lang=CH
35917,學術英文論文寫作與發表,熊宜君,"五2,3,4(共405)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=Q01%20M0330&class=01&dpt_code=Q010&ser_no=35917&semester=113-1&lang=CH
34547,工程數學上,陳中明,"三7,8,9(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=508%2020101&class=&dpt_code=5080&ser_no=34547&semester=113-1&lang=CH
63672,中文學術寫作入門,李冠穎,"四8,9(綜401)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=H02%2010600&class=&dpt_code=H020&ser_no=63672&semester=113-1&lang=CH
82899,中級會計學上,吳淑鈴,"三2,3,4(管一104)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=702%2020661&class=01&dpt_code=7020&ser_no=82899&semester=113-1&lang=CH
40667,中級會計學上,王全三,"一A,B,C(管一104)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=702%2020661&class=02&dpt_code=7020&ser_no=40667&semester=113-1&lang=CH
83851,中級會計學上,劉心才,"三2,3,4(管二201)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=703%2021711&class=01&dpt_code=7030&ser_no=83851&semester=113-1&lang=CH
56867,公司治理與財務報表,傅文芳,"一7,8,9(管二101)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=722%20U7090&class=&dpt_code=7020&ser_no=56867&semester=113-1&lang=CH
21706,公司理財,吳儀玲,"四2,3,4(社科302)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=303%2022410&class=&dpt_code=3030&ser_no=21706&semester=113-1&lang=CH
76243,公平交易法,廖義男,"二1,2(霖1506)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A01%2043200&class=&dpt_code=A010&ser_no=76243&semester=113-1&lang=CH
87077,分散式系統與雲端應用開發實務,莊裕澤,"四7,8,9(管二301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=725%20U3380&class=&dpt_code=7050&ser_no=87077&semester=113-1&lang=CH
50733,分類編目理論研討,藍文欽,"三2,3,4(圖資研討3B)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=126%20D0800&class=&dpt_code=1260&ser_no=50733&semester=113-1&lang=CH
97083,太極劍,游添燈,"三6,7(綜館技擊AB)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050370&class=19&dpt_code=T010&ser_no=97083&semester=113-1&lang=CH
61581,心理測驗,姚開屏,"一6,7(北館視聽)四6(北館視聽)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=207%2022300&class=&dpt_code=2070&ser_no=61581&semester=113-1&lang=CH
45158,心理測驗實習,姚開屏,四7(北館視聽),https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=207%2022310&class=&dpt_code=2070&ser_no=45158&semester=113-1&lang=CH
52082,心理統計學上,姚開屏,"五2,3,4(北館視聽)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=207%2012301&class=&dpt_code=2070&ser_no=52082&semester=113-1&lang=CH
